,FL_NUM,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_ARR_TIME,DEP_DEL15,ARR_DEL15,DEP_DELAY
254,1815,1,12,2,MSP,ATL,1234,1.0,0.0,29.0
255,1975,1,12,2,MSP,ATL,1458,0.0,0.0,0.0
256,2039,1,12,2,ATL,SEA,1109,1.0,0.0,25.0
257,1542,1,14,4,SEA,JFK,723,0.0,0.0,10.0
258,1651,1,14,4,DTW,SEA,2221,0.0,0.0,0.0
259,1768,1,14,4,SEA,MSP,1337,0.0,0.0,-2.0
260,1815,1,14,4,MSP,ATL,1234,0.0,0.0,5.0
261,1961,1,14,4,MSP,ATL,2306,0.0,0.0,-1.0
262,2032,1,14,4,MSP,JFK,1049,0.0,0.0,-2.0
263,2188,1,14,4,ATL,SEA,1912,0.0,0.0,0.0
264,2263,1,14,4,ATL,DTW,1253,0.0,0.0,4.0
265,2312,1,14,4,MSP,JFK,2149,0.0,0.0,-3.0
266,2413,1,14,4,SEA,JFK,1515,0.0,0.0,0.0
267,2508,1,14,4,SEA,DTW,1655,0.0,0.0,-2.0
268,2793,1,14,4,DTW,MSP,1107,0.0,0.0,-1.0
269,2817,1,14,4,JFK,DTW,1123,0.0,0.0,-8.0
270,53,1,15,5,MSP,DTW,1813,0.0,0.0,-4.0
271,325,1,15,5,DTW,ATL,1706,0.0,0.0,14.0
272,426,1,15,5,JFK,ATL,1055,1.0,0.0,18.0
273,485,1,15,5,JFK,SEA,1945,0.0,0.0,13.0
274,588,1,15,5,SEA,MSP,1627,0.0,0.0,5.0
275,652,1,15,5,ATL,MSP,2257,0.0,0.0,-1.0
276,784,1,15,5,ATL,MSP,1020,0.0,0.0,8.0
277,840,1,15,5,MSP,DTW,2234,0.0,0.0,-4.0
278,902,1,15,5,ATL,DTW,1655,1.0,0.0,16.0
279,976,1,15,5,ATL,JFK,1213,0.0,0.0,1.0
280,780,1,14,4,MSP,DTW,1304,0.0,0.0,-5.0
281,822,1,14,4,SEA,DTW,1415,0.0,0.0,-2.0
282,866,1,14,4,ATL,MSP,1540,0.0,0.0,-1.0
283,929,1,14,4,DTW,ATL,1840,0.0,0.0,-4.0
284,984,1,14,4,ATL,JFK,2315,0.0,0.0,6.0
285,1094,1,14,4,ATL,MSP,1645,1.0,1.0,252.0
286,1121,1,14,4,DTW,ATL,2219,0.0,0.0,0.0
287,1187,1,14,4,MSP,SEA,1928,0.0,0.0,-4.0
288,1290,1,14,4,ATL,DTW,5,0.0,0.0,-5.0
289,1419,1,14,4,SEA,MSP,1204,0.0,0.0,-2.0
290,1121,1,15,5,DTW,ATL,2227,0.0,0.0,0.0
291,1187,1,15,5,MSP,SEA,1928,1.0,1.0,29.0
292,1290,1,15,5,ATL,DTW,5,0.0,0.0,2.0
293,1419,1,15,5,SEA,MSP,1204,0.0,0.0,5.0
294,1542,1,15,5,SEA,JFK,723,0.0,0.0,-4.0
295,1651,1,15,5,DTW,SEA,2221,1.0,0.0,32.0
296,1782,1,15,5,DTW,SEA,1710,0.0,0.0,5.0
297,1852,1,15,5,ATL,SEA,1351,1.0,0.0,39.0
298,427,1,16,6,JFK,ATL,1040,0.0,0.0,1.0
299,445,1,16,6,JFK,ATL,2002,0.0,0.0,-3.0
300,528,1,16,6,ATL,MSP,1814,0.0,0.0,-2.0
301,630,1,16,6,DTW,ATL,2157,0.0,0.0,-10.0
302,822,1,16,6,SEA,DTW,1415,0.0,0.0,9.0
303,888,1,16,6,MSP,ATL,1959,0.0,0.0,-5.0
304,991,1,16,6,ATL,DTW,1401,0.0,0.0,-1.0
305,1107,1,16,6,ATL,SEA,2201,0.0,0.0,4.0
306,1195,1,16,6,DTW,JFK,2157,0.0,0.0,0.0
307,1403,1,16,6,ATL,SEA,1624,1.0,1.0,27.0
308,1593,1,16,6,SEA,ATL,644,0.0,0.0,-7.0
309,1707,1,16,6,DTW,MSP,941,0.0,0.0,4.0
310,1815,1,16,6,MSP,ATL,1232,1.0,1.0,61.0
311,1195,1,17,7,DTW,JFK,2157,0.0,1.0,8.0
312,1397,1,17,7,MSP,SEA,1552,0.0,0.0,-6.0
313,1542,1,17,7,SEA,JFK,721,0.0,0.0,-3.0
